id,err,cp
1517,69.27,1
1518,130.98,0
1519,130.32,0
1520,122.5725,0
1521,44.055,0
1522,26.8575,0
1523,9.648,0
1524,10.887,0
1525,11.496,0
1526,22.08,0
1527,23.319,0
1528,20.106,0
1529,21.66,0
1530,23.697,0
1531,24.684,0
1532,18.405,0
1533,11.979,0
1534,12.063,0
1535,12.294,0
1536,3.561,0
1537,5.682,0
1538,5.304,0
1539,2.826,0
1540,8.388,0
1541,8.346,0
1542,4.842,0
1543,4.59,0
1544,4.149,0
1545,0.957,0
1546,0.033,0
1547,5.553,0
1548,11.895,0
1549,25.881,0
1550,25.944,0
1551,24.264,0
1552,7.674,0
1553,75.3225,1
1554,125.79,0
1555,127.9575,0
1556,72.7425,0
1557,10.614,0
1558,11.076,0
1559,11.076,0
1560,11.328,0
1561,24.6,0
1562,24.621,0
1563,24.516,0
1564,20.778,0
1565,79.59,1
1566,138.33,0
1567,123.2025,0
1568,33.1575,0
1569,10.845,0
1570,11.622,0
1571,11.832,0
1572,20.568,0
1573,25.65,0
1574,24.894,0
1575,25.146,0
1576,25.377,0
1577,4.881,0
1578,1.293,0
1579,1.209,0
1580,1.188,0
1581,6.813,0
1582,12.147,0
1583,12.021,0
1584,8.703,0
1585,8.871,0
1586,8.766,0
1587,8.913,0
1588,7.422,0
1589,4.317,0
1590,4.317,0
1591,3.708,0
1592,3.267,0
1593,3.225,0
1594,0.159,0
1595,8.976,0
1596,9.354,0
1597,9.396,0
1598,9.501,0
1599,9.312,0
1600,9.123,0
1601,66.9,1
1602,127.1475,0
1603,127.8075,0
1604,81.69,0
1605,10.32,0
1606,25.881,0
1607,25.23,0
1608,23.067,0
1609,25.419,0
1610,25.188,0
1611,24.852,0
1612,15.885,0
1613,74.745,1
1614,133.1625,0
1615,132.2025,0
1616,132.015,0
1617,97.5075,0
1618,12.21,0
1619,12.945,0
1620,12.462,0
1621,12.714,0
1622,12.903,0
1623,13.239,0
1624,13.176,0
1625,12.903,0
1626,12.819,0
1627,12.651,0
1628,13.008,0
1629,12.882,0
1630,12.924,0
1631,12.756,0
1632,12.756,0
1633,12.357,0
1634,12.546,0
1635,12.273,0
1636,10.194,0
1637,9.312,0
1638,9.102,0
1639,8.997,0
1640,9.333,0
1641,9.186,0
1642,9.123,0
1643,8.619,0
